Mount Kinabalu gazetteer arranged alphabetically by place name Ð based on features shown on the Kinabalu location map,,,,,
Draft: 29 August 2005,,,,,
,,,,,
,,,,,
,Feature,,,,
Feature name,type,Latitude,Longitude,Lat-dd,Long-dd
 ,,,,,
Alexandra Peak,peak,"6¡4'40.37""N","116¡32'50.38""E",6.07788,116.54733
Kg. Bahab,pp,"5¡58'1.94""N","116¡41'50.93""E",5.96721,116.69748
Bahab R.,river,"5¡58'1.61""N","116¡41'42.32""E",5.96711,116.69509
Kg. Balabakan,pp,"6¡0'44.95""N","116¡26'34.89""E",6.01248,116.44302
Bambangan Camp,poi,"6¡1'30.78""N","116¡37'38.13""E",6.02522,116.62726
Bambangan R.,river,"6¡1'55.85""N","116¡37'35.85""E",6.03218,116.62663
Bambangan R.,river,"6¡3'28.19""N","116¡42'15.31""E",6.05783,116.70425
Bambangan R.,river,"5¡58'44.78""N","116¡38'32.68""E",5.97911,116.64241
Bat Cave,poi,"6¡3'9.91""N","116¡41'56.34""E",6.05275,116.69898
Baya'aan,river,"5¡57'26.63""N","116¡33'15.58""E",5.9574,116.55433
Besi R.,river,"6¡6'46.17""N","116¡29'27.55""E",6.11282,116.49099
Bidau-bidau Falls,poi,"6¡6'8.39""N","116¡32'26.48""E",6.10233,116.54069
Binombon R.,river,"6¡6'52.76""N","116¡27'14.13""E",6.11466,116.45393
Binondiraan Ridge,ridge,"6¡7'8.62""N","116¡29'49.94""E",6.11906,116.4972
Kg. Bongkud,pp,"6¡1'9.25""N","116¡45'21.50""E",6.01924,116.75597
Bongu R.,river,"6¡6'28.31""N","116¡43'49.05""E",6.10786,116.73029
Kg. Botong,pp,"6¡3'47.16""N","116¡46'17.53""E",6.0631,116.77154
Buluntungen R.,river,"6¡2'29.76""N","116¡42'16.56""E",6.0416,116.7046
Kg. Bundu Paka,pp,"6¡8'14.90""N","116¡26'54.23""E",6.13747,116.4484
Kg. Bundu Tuhan,pp,"5¡59'1.37""N","116¡31'44.92""E",5.98371,116.52914
Bundu-bundu R.,river,"6¡2'59.78""N","116¡25'47.46""E",6.04994,116.42985
Kg. Bungol,pp,"6¡6'34.12""N","116¡24'50.51""E",6.10948,116.41403
Camp 1 (Singh's Plateau),poi,"6¡2'59.83""N","116¡40'55.01""E",6.04995,116.68195
Camp 2,poi,"6¡3'14.55""N","116¡39'43.36""E",6.05404,116.66204
Camp 3,poi,"6¡4'0.11""N","116¡38'29.99""E",6.0667,116.64166
Camp 4,poi,"6¡4'24.23""N","116¡37'37.54""E",6.0734,116.62709
Camp 5,poi,"6¡4'31.19""N","116¡36'40.00""E",6.07533,116.61111
Camp 6,poi,"6¡4'7.86""N","116¡35'59.47""E",6.06885,116.59985
Cauldron Gap,poi,"6¡4'11.22""N","116¡33'52.78""E",6.06978,116.56466
Crocker Range,ridge,"5¡55'0.60""N","116¡26'42.19""E",5.91683,116.44505
Dachang,peak,"6¡3'17.41""N","116¡34'34.37""E",6.05484,116.57621
Dairy Annex,poi,"6¡1'32.40""N","116¡36'35.00""E",6.02567,116.60972
Dalas R.,river,"6¡5'17.40""N","116¡26'41.67""E",6.08817,116.44491
Dallas,poi,"6¡1'52.55""N","116¡27'51.74""E",6.03127,116.46437
Dallas R.,river,"6¡2'31.13""N","116¡28'6.69""E",6.04198,116.46852
Kg. Dantayon,pp,"6¡5'56.47""N","116¡43'56.42""E",6.09902,116.73234
Dapatau,poi,"6¡3'26.82""N","116¡30'20.27""E",6.05745,116.50563
Deip Hill,peak,"6¡4'1.88""N","116¡42'54.11""E",6.06719,116.71503
Dengiranuk Ridge,ridge,"6¡8'30.39""N","116¡30'11.02""E",6.14178,116.50306
Desa Dairy,poi,"6¡1'6.09""N","116¡35'21.21""E",6.01836,116.58922
Diared R.,river,"6¡5'46.73""N","116¡45'3.34""E",6.09632,116.75093
Dinompok Hill,peak,"6¡7'8.54""N","116¡40'25.65""E",6.11904,116.67379
Mt. Doa,peak,"6¡2'34.70""N","116¡41'34.65""E",6.04297,116.69296
Mt. Doa,peak,"6¡7'30.17""N","116¡29'25.37""E",6.12505,116.49038
Dokuton R.,river,"6¡6'20.98""N","116¡43'7.11""E",6.10583,116.71864
Dolung R.,river,"6¡9'17.51""N","116¡26'56.33""E",6.15486,116.44898
Donkey's Ears,peak,"6¡4'13.50""N","116¡33'43.79""E",6.07042,116.56216
Dukaruk R.,river,"6¡11'57.70""N","116¡36'38.67""E",6.19936,116.61074
Duriak R.,river,"6¡8'39.23""N","116¡38'31.72""E",6.14423,116.64215
East Mesilau R.,river,"6¡1'50.05""N","116¡35'52.59""E",6.03057,116.59794
Eastern Shoulder,ridge,"6¡4'10.29""N","116¡38'18.97""E",6.06953,116.6386
Garas Ridge,ridge,"6¡17'52.82""N","116¡39'39.30""E",6.298,116.66092
Kg. Gebuken,pp,"5¡58'55.06""N","116¡37'56.96""E",5.98196,116.63249
Kg. Gendukut,pp,"6¡18'7.64""N","116¡32'32.81""E",6.30212,116.54245
Genipis Ridge,ridge,"5¡58'49.49""N","116¡36'38.02""E",5.98041,116.61056
Kg. Gensurai,pp,"6¡12'13.92""N","116¡29'1.85""E",6.20387,116.48385
Gigiisan R.,river,"6¡5'37.51""N","116¡31'0.43""E",6.09375,116.51679
Goking's Valley,poi,"6¡4'51.27""N","116¡36'17.88""E",6.08091,116.60497
